id,chinese,english,pinyin,unit_id,type
1,你,you,ni,1,pr
2,好,good,hao,1,adj
3,请,please,qing,1,v
4,问,to ask,wen,1,v
5,贵,honorable,gui,1,adj
6,姓,surname,xing,1,v/n
7,我,"I, me",wo,1,pr
8,呢,qp,ne,1,qp
9,小姐,miss,xiaojie,1,n
10,叫,to be called,jiao,1,v
11,什么,what,shenme,1,qpr
12,名字,name,mingzi,1,n
13,先生,"Mr., sir",xiansheng,1,n
14,李友,Li You,lǐ yǒu,1,name
15,王朋,Wang Peng,wáng péng,1,name
16,是,is,shì,1,v
17,老师,teacher,lǎoshī,1,n
18,吗,question marker,ma,1,qp
19,不,no,bù,1,adv
20,学生,student,xuéshēng,1,n
21,也,also,yě,1,adv
22,人,person,rén,1,n
23,中国,China,zhōngguó,1,loc
24,北京,Beijing,Běijīng,1,loc
25,美国,America,Měiguó,1,loc
26,纽约,New York,Niǔyuē,1,loc
27,英国,England,Yīngguó,1,loc
28,法国,France,Fàguó,1,loc
29,德国,Germany,Déguó,1,loc
30,日本,Japan,Rìběn,1,loc
31,韩国,South Korea,Hánguó,1,loc
32,加拿大,Canada,Jiānádà,1,loc
33,墨西哥,Mexico,Mòxīgē,1,loc
34,印度,India,Yìndù,1,loc
35,越南,Vietnam,Yuènán,1,loc
36,加州,California,Jiāzhōu,1,loc
37,夏威夷,Hawaii,Xiàwēiyí,1,loc
38,上海,Shanghai,Shànghǎi,1,loc
39,那,that,nà,2,pr
40,的,posessive,de,2,pr
41,照片,photo,zhàopiàn,2,n
42,这,this,zhè,2,pr
43,爸爸,father,bàba,2,n
44,妈妈,mother,māmā,2,n
45,个,measure word,gè,2,m
46,孩子,child,háizi,2,n
47,谁,who,shuí,2,qpr
48,她,she,tā,2,pr
49,他,he,tā,2,pr
50,姐姐,older sister,jiějie,2,n
51,男,male,nán,2,adj
52,弟弟,younger brother,dìdi,2,n
53,大哥,older brother,dàgē,2,n
54,儿子,son,érzi,2,n
55,有,have,yǒu,2,v
56,没,not,méi,2,adv
57,高文中,Gaowen Zhong,Gāo Wénzhōng,2,name
58,家,family,jiā,2,n
59,几,how many,jǐ,2,nu / qpr
60,口,m for family,kǒu,2,m
61,哥哥,older brother,gēge,2,n
62,两,two / couple,liǎng,2,nu
63,妹妹,young sister,mèimei,2,n
64,和,and,hé,2,conj
65,大姐,big sister,dàjiē,2,n
66,二姐,second older sister,èr jiě,2,n
67,做,to do,zuò,2,v
68,工作,work,gōngzuò,2,n / v
69,侓师,lawyer,lǜshī,2,n
70,英文,English,yīngwén,2,n
71,都,both,dōu,2,adv
72,大学生,college student,dàxuéshēng,2,n
73,大学,university,dàxué,2,n
74,医生,doctor,yīshēng,2,n
75,白英爱,Bai Ying'ai,Bái Yīng'ài,2,name
76,时间,time,shíjiān,3,n
77,九月,September,jiǔ yuè,3,n
78,月,month,yuè,3,n
79,十二,twelve,shí èr,3,nu
80,号,date,hào,3,m
81,星期,week,xīngqī,3,n
82,星期四,Thursday,xīngqī sì,3,n
83,天,day,tiān,3,n
84,生日,birthday,shēngrì,3,n
85,今年,this year,jīnnián,3,n
86,年,year,nián,3,n
87,多,more,duō,3,adv
88,大,big,dà,3,adj
89,十八,eighteen,shí bā,3,nu
90,岁,years old,suì,3,n
91,吃,to eat,chī,3,v
92,饭,meal,fàn,3,n
93,怎么样,how about,zěnme yàng,3,qpr
94,太...了,too,tài...le,3,p
95,谢谢,thank you,xièxiè,3,v
96,喜欢,to like,xǐhuān,3,v
97,菜,dish,cài,3,n
98,还是,or,háishì,3,conj
99,可是,but,kěshì,3,conj
100,我们,we,wǒmen,3,pr
101,点,order,diǎn,3,m
102,半,half,bàn,3,nu
103,晚上,evening,wǎnshàng,3,t / n
104,见,to see,jiàn,3,v
105,再见,goodbye,zàijiàn,3,v
106,再,again,zài,3,adv
107,现在,now,xiànzài,3,t
108,刻,moment,kè,3,m
109,事,thing,shì,3,n
110,今天,today,jīntiān,3,t
111,很,very,hěn,3,adv
112,忙,busy,máng,3,adj
113,明天,tomorrow,míngtiān,3,t
114,晚饭,dinner,wǎnfàn,3,n
115,为什么,why,wèishénme,3,qpr
116,为,for,wèi,3,prep
117,因为,because,yīnwèi,3,conj
118,还,still,hái,3,adv
119,同学,classmate,tóngxué,3,n
120,认识,to know,rènshi,3,v
121,朋友,friend,péngyǒu,3,n
122,爱好,hobby,àihào,4,vo
123,周末,weekend,zhōumò,4,n
124,打球,to play ball,dǎ qiú,4,vo
125,打,to hit,dǎ,4,v
126,球,ball,qiú,4,n
127,看,to watch,kàn,4,v
128,电视,television,diànshì,4,n
129,电,electricity,diàn,4,n
130,视,vision,shì,4,n
131,唱歌,to sing,chànggē,4,vo
132,唱,to sing,chàng,4,v
133,歌,song,gē,4,n
134,跳舞,to dance,tiàowǔ,4,vo
135,跳,to jump,tiào,4,v
136,舞,dance,wǔ,4,n
137,听,to listen,tīng,4,v
138,音乐,music,yīnyuè,4,n
